Function,Dimension,GA,PSO,DE,GWO,CREO-Repair,CREO-RG,CREO-DE
F19,30,21184258.120111626,8079.741971878427,1917.1072425113027,10011427.517968602,69433.4938093514,78247.84499204192,9588777.13515488
F20,30,2582.163691894436,2486.8721453255107,2166.055839812725,2663.762529400185,2828.165034759584,2764.4717104161014,2607.38807009244
F21,30,2528.591203019188,2427.5103998009927,2464.007032805886,2565.835193787177,2513.919270290292,2535.9329007991287,2549.523758475645
F22,30,2792.3827960262306,3231.727242111595,2300.000000004183,4048.86436221222,6531.086556328137,6240.863327855231,2558.2812389117125
F23,30,3009.6268311299823,2956.4062943154395,2707.856460237169,3383.9773348507374,3594.187982549258,3634.116560670337,3020.692417674246
F24,30,3132.403100643611,3060.3175397336117,2823.536905035216,3554.220500118308,3579.29923065838,3606.648942805732,3169.4707677073648
F25,30,3099.3170167042026,2908.358071421424,2899.3579200017016,3228.671439280485,2943.9475392923987,2956.420938375704,3033.181509984041
F26,30,4749.934748466814,4411.224421755562,2955.257593226327,6528.386592835897,7680.003868625086,7872.558157538283,5555.201746559683
F27,30,3541.181976246333,3470.1143350570305,3235.2041129249324,4154.719050072293,4441.512237263099,4507.845981249827,3442.0327572815013
F28,30,3553.50855487858,3106.885713331772,3127.5428523892365,4228.8352800454,3261.007372229492,3340.68043160332,3575.453018110165
F29,30,4304.916884869404,3882.496031859136,3447.3697099476217,5015.400042935199,4794.582834872634,4814.581288000217,4384.36216942105
F30,30,22471996.248803243,8136.6911054708125,6592.326655460331,81010558.21202867,237693.2861751016,321777.8468752155,37055311.20697664
