Function,Dimension,Comparison,Statistic,p-value,Significant(p<0.05),CREO-DE Mean,GA Mean,PSO Mean,DE Mean,GWO Mean,CREO-Repair Mean,CREO-RG Mean
F15,10,CREO-DE vs GA,129.0,0.03272089920938015,1,2193.770138588647,1869.9593991049194,,,,,
F15,10,CREO-DE vs PSO,0.0,1.862645149230957e-09,1,2193.770138588647,,1554.7548155829404,,,,
F15,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,2193.770138588647,,,1500.4708881172396,,,
F15,10,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,2193.770138588647,,,,7985.173469159578,,
F15,10,CREO-DE vs CREO-Repair,0.0,1.862645149230957e-09,1,2193.770138588647,,,,,10333.186071961816,
F15,10,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,2193.770138588647,,,,,,14232.219138878925
F16,10,CREO-DE vs GA,130.0,0.034536734223365784,1,1649.8472539491372,1672.2629477229389,,,,,
F16,10,CREO-DE vs PSO,4.0,1.30385160446167e-08,1,1649.8472539491372,,1875.1268477957158,,,,
F16,10,CREO-DE vs DE,95.0,0.0037444327026605606,1,1649.8472539491372,,,1616.0287468316799,,,
F16,10,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,1649.8472539491372,,,,1899.1026408619173,,
F16,10,CREO-DE vs CREO-Repair,0.0,1.862645149230957e-09,1,1649.8472539491372,,,,,2000.052226447199,
F16,10,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,1649.8472539491372,,,,,,2020.8236148082506
F17,10,CREO-DE vs GA,218.0,0.7765688337385654,0,1758.660281564151,1757.9192166216235,,,,,
F17,10,CREO-DE vs PSO,203.0,0.5561132747679949,0,1758.660281564151,,1757.1558365037838,,,,
F17,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,1758.660281564151,,,1701.6502143833293,,,
F17,10,CREO-DE vs GWO,9.0,6.146728992462158e-08,1,1758.660281564151,,,,1774.21783271719,,
F17,10,CREO-DE vs CREO-Repair,66.0,0.00031275488436222076,1,1758.660281564151,,,,,1796.1997562241131,
F17,10,CREO-DE vs CREO-RG,89.0,0.0023674946278333664,1,1758.660281564151,,,,,,1804.8838949305891
F18,10,CREO-DE vs GA,47.0,3.904104232788086e-05,1,9312.51283632059,22663.373690104017,,,,,
F18,10,CREO-DE vs PSO,59.0,0.0001528710126876831,1,9312.51283632059,,4503.446723707015,,,,
F18,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,9312.51283632059,,,1800.2152391757963,,,
F18,10,CREO-DE vs GWO,174.0,0.23665234446525574,0,9312.51283632059,,,,10028.716175342426,,
F18,10,CREO-DE vs CREO-Repair,191.0,0.40449450351297855,0,9312.51283632059,,,,,7522.166958786373,
F18,10,CREO-DE vs CREO-RG,126.0,0.027741437777876854,1,9312.51283632059,,,,,,6109.026563320286
F19,10,CREO-DE vs GA,85.0,0.001718590036034584,1,2024.3305424829355,2112.1133299050584,,,,,
F19,10,CREO-DE vs PSO,124.0,0.024786051362752914,1,2024.3305424829355,,1982.1422638486774,,,,
F19,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,2024.3305424829355,,,1900.0180484300706,,,
F19,10,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,2024.3305424829355,,,,18276.346996524382,,
F19,10,CREO-DE vs CREO-Repair,21.0,8.326023817062378e-07,1,2024.3305424829355,,,,,3605.7292597175706,
F19,10,CREO-DE vs CREO-RG,2.0,5.587935447692871e-09,1,2024.3305424829355,,,,,,4292.929135225287
F20,10,CREO-DE vs GA,58.0,0.00013739429414272308,1,2076.176348913194,2066.893796764419,,,,,
F20,10,CREO-DE vs PSO,150.0,0.09194962680339813,0,2076.176348913194,,2093.194091682053,,,,
F20,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,2076.176348913194,,,2000.4025454691223,,,
F20,10,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,2076.176348913194,,,,2161.5377067389823,,
F20,10,CREO-DE vs CREO-Repair,13.0,1.6391277313232422e-07,1,2076.176348913194,,,,,2219.3308824508135,
F20,10,CREO-DE vs CREO-RG,6.0,2.60770320892334e-08,1,2076.176348913194,,,,,,2195.913111277698
F21,10,CREO-DE vs GA,79.0,0.001038169488310814,1,2241.931030334263,2310.095688020731,,,,,
F21,10,CREO-DE vs PSO,92.0,0.0029870010912418365,1,2241.931030334263,,2304.894927126722,,,,
F21,10,CREO-DE vs DE,209.0,0.6408254038542509,0,2241.931030334263,,,2253.2678146324993,,,
F21,10,CREO-DE vs GWO,25.0,1.6838312149047852e-06,1,2241.931030334263,,,,2330.227661760205,,
F21,10,CREO-DE vs CREO-Repair,58.0,0.00013739429414272308,1,2241.931030334263,,,,,2313.183154130352,
F21,10,CREO-DE vs CREO-RG,38.0,1.218356192111969e-05,1,2241.931030334263,,,,,,2329.0664049832917
F22,10,CREO-DE vs GA,23.0,1.1920928955078125e-06,1,2292.389129922686,2323.579383769886,,,,,
F22,10,CREO-DE vs PSO,189.0,0.3817984350025654,0,2292.389129922686,,2301.8390715171995,,,,
F22,10,CREO-DE vs DE,189.0,0.3817984350025654,0,2292.389129922686,,,2301.4579829756944,,,
F22,10,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,2292.389129922686,,,,2336.3995309446254,,
F22,10,CREO-DE vs CREO-Repair,0.0,1.862645149230957e-09,1,2292.389129922686,,,,,2591.997073171161,
F22,10,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,2292.389129922686,,,,,,2647.98765635923
F23,10,CREO-DE vs GA,130.0,0.034536734223365784,1,2646.278382788106,2642.9313205432645,,,,,
F23,10,CREO-DE vs PSO,205.0,0.583757072687149,0,2646.278382788106,,2646.114586677219,,,,
F23,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,2646.278382788106,,,2608.2155273793805,,,
F23,10,CREO-DE vs GWO,7.0,3.5390257835388184e-08,1,2646.278382788106,,,,2670.568027038613,,
F23,10,CREO-DE vs CREO-Repair,0.0,1.862645149230957e-09,1,2646.278382788106,,,,,2754.126245830176,
F23,10,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,2646.278382788106,,,,,,2780.855430845362
F24,10,CREO-DE vs GA,231.0,0.9838335812091827,0,2696.0970924015287,2689.3684711649385,,,,,
F24,10,CREO-DE vs PSO,141.0,0.06056523136794567,0,2696.0970924015287,,2678.5359491010286,,,,
F24,10,CREO-DE vs DE,27.0,2.348795533180237e-06,1,2696.0970924015287,,,2552.304445060125,,,
F24,10,CREO-DE vs GWO,101.0,0.00577649287879467,1,2696.0970924015287,,,,2764.5253029741007,,
F24,10,CREO-DE vs CREO-Repair,126.0,0.027741437777876854,1,2696.0970924015287,,,,,2777.0040180230253,
F24,10,CREO-DE vs CREO-RG,194.0,0.4399667661637068,0,2696.0970924015287,,,,,,2752.2692543537974
F25,10,CREO-DE vs GA,0.0,1.862645149230957e-09,1,2900.8069829260066,2929.3238232455265,,,,,
F25,10,CREO-DE vs PSO,41.0,1.8244609236717224e-05,1,2900.8069829260066,,2927.047110211419,,,,
F25,10,CREO-DE vs DE,145.0,0.07324407435953617,0,2900.8069829260066,,,2902.3690008433277,,,
F25,10,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,2900.8069829260066,,,,2935.525197923763,,
F25,10,CREO-DE vs CREO-Repair,18.0,4.7124922275543213e-07,1,2900.8069829260066,,,,,2952.795719780602,
F25,10,CREO-DE vs CREO-RG,47.0,3.904104232788086e-05,1,2900.8069829260066,,,,,,2939.937879742454
F26,10,CREO-DE vs GA,29.0,3.2391399145126343e-06,1,2903.178173603489,2961.975338012014,,,,,
F26,10,CREO-DE vs PSO,59.0,0.0001528710126876831,1,2903.178173603489,,2939.389178289203,,,,
F26,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,2903.178173603489,,,2900.0,,,
F26,10,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,2903.178173603489,,,,3048.170024000553,,
F26,10,CREO-DE vs CREO-Repair,4.0,1.30385160446167e-08,1,2903.178173603489,,,,,3582.3509997132514,
F26,10,CREO-DE vs CREO-RG,5.0,1.862645149230957e-08,1,2903.178173603489,,,,,,3509.0039091275635
F27,10,CREO-DE vs GA,13.0,1.6391277313232422e-07,1,3116.2733296090573,3124.966757115799,,,,,
F27,10,CREO-DE vs PSO,57.0,0.00012333691120147705,1,3116.2733296090573,,3151.267796986213,,,,
F27,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,3116.2733296090573,,,3096.193743671763,,,
F27,10,CREO-DE vs GWO,1.0,3.725290298461914e-09,1,3116.2733296090573,,,,3171.7736585365915,,
F27,10,CREO-DE vs CREO-Repair,0.0,1.862645149230957e-09,1,3116.2733296090573,,,,,3257.539531022396,
F27,10,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,3116.2733296090573,,,,,,3266.896689296126
F28,10,CREO-DE vs GA,0.0,1.862645149230957e-09,1,3105.7167195396255,3155.827050009065,,,,,
F28,10,CREO-DE vs PSO,189.0,0.3817984350025654,0,3105.7167195396255,,3181.4835961663484,,,,
F28,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,3105.7167195396255,,,3100.0,,,
F28,10,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,3105.7167195396255,,,,3394.92307909652,,
F28,10,CREO-DE vs CREO-Repair,10.0,8.009374141693115e-08,1,3105.7167195396255,,,,,3418.8883310914107,
F28,10,CREO-DE vs CREO-RG,1.0,3.725290298461914e-09,1,3105.7167195396255,,,,,,3456.916267957276
F29,10,CREO-DE vs GA,71.0,0.0005054883658885956,1,3189.9786475551837,3206.279433361125,,,,,
F29,10,CREO-DE vs PSO,114.0,0.013663241639733315,1,3189.9786475551837,,3215.7103614472353,,,,
F29,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,3189.9786475551837,,,3135.923075904344,,,
F29,10,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,3189.9786475551837,,,,3260.9514133973507,,
F29,10,CREO-DE vs CREO-Repair,3.0,9.313225746154785e-09,1,3189.9786475551837,,,,,3332.1563402871416,
F29,10,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,3189.9786475551837,,,,,,3397.7274715117837
F30,10,CREO-DE vs GA,2.0,5.587935447692871e-09,1,17915.581357348197,219122.48951985172,,,,,
F30,10,CREO-DE vs PSO,91.0,0.0027663204818964005,1,17915.581357348197,,355357.9345687636,,,,
F30,10,CREO-DE vs DE,0.0,1.862645149230957e-09,1,17915.581357348197,,,3647.995565787913,,,
F30,10,CREO-DE vs GWO,0.0,1.862645149230957e-09,1,17915.581357348197,,,,1199441.5642275205,,
F30,10,CREO-DE vs CREO-Repair,3.0,9.313225746154785e-09,1,17915.581357348197,,,,,2145889.403450379,
F30,10,CREO-DE vs CREO-RG,0.0,1.862645149230957e-09,1,17915.581357348197,,,,,,4384565.917872942
